DITA File,XSLT,Status,Time (ms),Error,Output File
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita,topic.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/installed_but_not_clearly_active_from_current_co.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/next.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/next.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/next.dita,fix_p_warning_to_note.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/next.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/next.dita,fix_consecutive_p_to_list.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/next.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/next.dita,table.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/next.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/next.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/next.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/next.dita,concept.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/next.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita,fix_p_warning_to_note.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita,fix_consecutive_p_to_list.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita,table.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita,codeblock.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita,concept.xsl,success,0,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/node_builtin_https_not_npm_but_active_outbound_n.dita
/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/pre-xslt-output/npm_network_surface_report/nodemailer_active.dita,unescape-tags.xsl,success,1,,/app/storage/4f1897aa-fbca-47a9-bce5-2451586ecd09/output/npm_network_surface_report/nodemailer_active.dita
