"DITA File Path","Document Type","Schematron Name","Severity","Gate","Rule Code","Error / Warning Description"
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1141 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""commencement and completion."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1140 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""safe from irregular handling or removal by any unauthorised person."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1139 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""records pertaining to court cases/enquiries must not be destroyed until the DRM’s permission is obtained."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1136 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Hand Book for gateman"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1135 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""Filing of Operating Circulars:"""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1134 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""moderately literate staff, Station Master must record that circulars etc. have been correctly explained."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1130 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""and see that all letters are replied without delay."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1129 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""reply with a copy placed in a file."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1128 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""This must be adhered to in all subsequent correspondence when replying to correspondence; reference must be made to the letter number under reply."""
"C:\Users\Metapercept\Desktop\Nilesh\New-MetR\metR-Converter-PDF\storage\942fd6d3-c493-46d0-baed-af39dd5278f0\pre-xslt-output\command_control_and_coordination_of_emergency_re.dita","CONCEPT","concept_structural_rules.sch","ERROR","Gate 2","","ERROR: 1127 consecutive <p> elements found more than 5 . These should be converted into a <ul>/<li> structure. First <p>: ""any difficulty in supplying the required information, the receipt of the letter must be acknowledged and matter referred to the DRM,"""
